,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
2885,673,2019-02-28 17:41:08.501,2019-02-28 17:52:21.568,39.0,Scott St at Golden Gate Ave,37.7789994,-122.4368608,60.0,8th St at Ringold St,37.77452040113685,-122.4094493687153,4644,Subscriber,1957,Male,No,2019,2,28,17,evening,Wednesday,62,11,0
2908,858,2019-02-28 17:37:18.044,2019-02-28 17:51:36.259,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,371.0,Lombard St at Columbus Ave,37.80274615250053,-122.41357862949371,5568,Customer,1951,Male,No,2019,2,28,17,evening,Wednesday,68,14,0
3056,538,2019-02-28 17:35:02.331,2019-02-28 17:44:01.083,22.0,Howard St at Beale St,37.789756,-122.394643,30.0,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282,5273,Customer,1956,Male,No,2019,2,28,17,evening,Wednesday,63,8,0
3062,370,2019-02-28 17:37:42.843,2019-02-28 17:43:53.748,363.0,Salesforce Transit Center (Natoma St at 2nd St),37.78749210438603,-122.3982846736908,50.0,2nd St at Townsend St,37.780526,-122.390288,1466,Subscriber,1956,Male,No,2019,2,28,17,evening,Wednesday,63,6,0
3207,1260,2019-02-28 17:14:58.226,2019-02-28 17:35:59.217,36.0,Folsom St at 3rd St,37.78383,-122.39887,375.0,Grove St at Masonic Ave,37.77483629413345,-122.44654566049576,6638,Customer,1949,Male,No,2019,2,28,17,evening,Wednesday,70,21,0
3223,243,2019-02-28 17:30:57.360,2019-02-28 17:35:00.694,121.0,Mission Playground,37.7592103,-122.4213392,109.0,17th St at Valencia St,37.7633158,-122.4219039,6464,Subscriber,1959,Female,Yes,2019,2,28,17,evening,Wednesday,60,4,0
3457,843,2019-02-28 17:08:22.765,2019-02-28 17:22:26.637,126.0,Esprit Park,37.7616343,-122.3906477,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.4084448814392,6453,Subscriber,1956,Male,No,2019,2,28,17,evening,Wednesday,63,14,0
3535,780,2019-02-28 17:04:56.452,2019-02-28 17:17:56.787,14.0,Clay St at Battery St,37.795001,-122.39997,81.0,Berry St at 4th St,37.77588,-122.39317,4400,Subscriber,1953,Male,No,2019,2,28,17,evening,Wednesday,66,13,0
3633,918,2019-02-28 16:57:25.942,2019-02-28 17:12:43.964,174.0,Shattuck Ave at 51st St,37.8368013,-122.2640037,157.0,65th St at Hollis St,37.8467842,-122.2913761,5076,Subscriber,1959,Male,No,2019,2,28,16,afternoon,Wednesday,60,15,0
3655,1190,2019-02-28 16:51:40.330,2019-02-28 17:11:30.411,371.0,Lombard St at Columbus Ave,37.80274615250053,-122.41357862949371,14.0,Clay St at Battery St,37.795001,-122.39997,6148,Customer,1951,Male,No,2019,2,28,16,afternoon,Wednesday,68,19,0
3700,1019,2019-02-28 16:51:59.097,2019-02-28 17:08:58.169,18.0,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709596,210.0,45th St at Manila,37.8332935222321,-122.25622415542604,4693,Subscriber,1957,Male,Yes,2019,2,28,16,afternoon,Wednesday,62,16,0
3754,235,2019-02-28 17:02:23.812,2019-02-28 17:06:18.960,172.0,College Ave at Taft Ave,37.8417999,-122.2515349,210.0,45th St at Manila,37.8332935222321,-122.25622415542604,5692,Subscriber,1957,Male,No,2019,2,28,17,evening,Wednesday,62,3,0
3809,276,2019-02-28 16:57:35.073,2019-02-28 17:02:11.238,28.0,The Embarcadero at Bryant St,37.78716801474664,-122.38809792330358,17.0,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086,6473,Subscriber,1956,Male,No,2019,2,28,16,afternoon,Wednesday,63,4,0
4014,291,2019-02-28 16:40:04.859,2019-02-28 16:44:56.170,21.0,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,5527,Subscriber,1951,Male,No,2019,2,28,16,afternoon,Wednesday,68,4,0
4022,750,2019-02-28 16:31:35.306,2019-02-28 16:44:05.438,93.0,4th St at Mission Bay Blvd S,37.7704074,-122.3911984,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,5250,Subscriber,1958,Female,No,2019,2,28,16,afternoon,Wednesday,61,12,0
4026,297,2019-02-28 16:38:48.911,2019-02-28 16:43:46.864,34.0,Father Alfred E Boeddeker Park,37.7839879,-122.412408,58.0,Market St at 10th St,37.776619,-122.417385,4600,Subscriber,1954,Male,No,2019,2,28,16,afternoon,Wednesday,65,4,0
