,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
32053,1452,2019-02-24 15:01:58.655,2019-02-24 15:26:11.198,177.0,MacArthur Blvd at Telegraph Ave,37.8262863,-122.2651002,46.0,San Antonio Park,37.79013985185364,-122.24237322807312,4863,Subscriber,1956,Female,Yes,2019,2,24,15,afternoon,Saturday,63,24,0
32075,311,2019-02-24 15:17:37.893,2019-02-24 15:22:49.565,289.0,5th St at Taylor St,37.3510173,-121.8959209,389.0,Taylor St at 9th St,37.35306166133104,-121.89193725585936,3869,Subscriber,1957,Male,Yes,2019,2,24,15,afternoon,Saturday,62,5,0
32114,2122,2019-02-24 14:41:51.738,2019-02-24 15:17:14.228,210.0,45th St at Manila,37.8332935222321,-122.25622415542604,178.0,Broadway at 30th St,37.8193814,-122.2619284,5772,Subscriber,1957,Male,Yes,2019,2,24,14,afternoon,Saturday,62,35,0
32173,260,2019-02-24 15:02:56.748,2019-02-24 15:07:17.392,66.0,3rd St at Townsend St,37.77874161153677,-122.39274082710836,27.0,Beale St at Harrison St,37.7880593,-122.3918648,5377,Subscriber,1942,Male,No,2019,2,24,15,afternoon,Saturday,77,4,0
32186,407,2019-02-24 14:58:57.839,2019-02-24 15:05:45.556,239.0,Bancroft Way at Telegraph Ave,37.8688126,-122.258764,246.0,Berkeley Civic Center,37.8690599,-122.270556,5099,Subscriber,1958,Male,No,2019,2,24,14,afternoon,Saturday,61,6,0
32225,1306,2019-02-24 14:38:53.194,2019-02-24 15:00:39.313,178.0,Broadway at 30th St,37.8193814,-122.2619284,240.0,Haste St at Telegraph Ave,37.8660431,-122.2588044,5414,Subscriber,1947,Male,No,2019,2,24,14,afternoon,Saturday,72,21,0
32285,299,2019-02-24 14:48:50.554,2019-02-24 14:53:50.330,179.0,Telegraph Ave at 27th St,37.816073115011406,-122.26788640022278,195.0,Bay Pl at Vernon St,37.81231409135146,-122.26077854633331,2339,Subscriber,1900,Female,No,2019,2,24,14,afternoon,Saturday,119,4,0
32342,181,2019-02-24 14:43:09.902,2019-02-24 14:46:11.524,72.0,Page St at Scott St,37.772406,-122.4356498,56.0,Koshland Park,37.77341396997343,-122.427316904068,6104,Subscriber,1951,Male,No,2019,2,24,14,afternoon,Saturday,68,3,0
32383,1738,2019-02-24 14:12:05.821,2019-02-24 14:41:04.525,129.0,Harrison St at 20th St,37.758862,-122.412544,131.0,22nd St at Dolores St,37.75500026037814,-122.42572769522668,3642,Subscriber,1958,Male,No,2019,2,24,14,afternoon,Saturday,61,28,0
32528,3074,2019-02-24 13:27:49.175,2019-02-24 14:19:04.056,299.0,Bestor Art Park,37.3236779,-121.8741186,299.0,Bestor Art Park,37.3236779,-121.8741186,1477,Subscriber,1957,Male,Yes,2019,2,24,13,afternoon,Saturday,62,51,0
